time_s,q_ref_1,q_ref_2,q_ref_3,q_ref_4,q_ref_5,q_ref_6,q_1,q_2,q_3,q_4,q_5,q_6,dq_ref_1,dq_ref_2,dq_ref_3,dq_ref_4,dq_ref_5,dq_ref_6,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tcp_ref_x,tcp_ref_y,tcp_ref_z,tcp_x,tcp_y,tcp_z
0.03,-0.563191145,0.36674337,-1.479010158,-1.164695525,0.620145435,1.08469295,-0.563237050344298,0.36677425577806705,-1.4789650438623347,-1.1647423221829976,0.6201644613899693,1.08469873325686,0.003292853,-0.003051346,-0.005441277,0.005721547,-0.001967314,-0.005932113,0.0002971252536995877,-0.0012437629496417052,-0.003060046723244198,0.0030934507607061645,-0.0010276528653916709,-0.005942865769156593,0.06450508935581298,-0.03924023881386947,-0.04170881544130641,0.006192136138539758,-0.0006600944669972862,-1.648954904768317e-05,0.602181289729325,-0.25133227760292626,0.5056387867907237,0.6021775855951106,-0.25136872639651436,0.5056353255456442
0.031,-0.563187798,0.366740268,-1.47901569,-1.164689708,0.620143435,1.084686919,-0.5632367294537194,0.3667729446282986,-1.4789682661934336,-1.1647390851685824,0.620163361619997,1.0846925826038152,0.003402627,-0.003153025,-0.005622614,0.00591231,-0.002032881,-0.006129884,0.00032089057861700484,-0.0013111497684290254,-0.0032223310988203245,0.003237014415113952,-0.0010997699723020106,-0.006150653044989529,0.06652787379960243,-0.040105167461283946,-0.042198430944188056,0.006338134541418732,-0.0006658217138184558,-1.5329287846631637e-05,0.6021812793886947,-0.25132921140482817,0.5056387946627856,0.6021772327830417,-0.2513679727183813,0.5056349984875459
0.032,-0.56318434,0.366737064,-1.479021403,-1.1646837,0.620141369,1.08468069,-0.5632363836200213,0.366771565068686,-1.4789716528610786,-1.1647357039441273,0.6201621878561486,1.0846862255936882,0.003512402,-0.003254701,-0.005803947,0.006103079,-0.002098448,-0.006327658,0.00034583369810761364,-0.0013795596126060321,-0.0033866676449264576,0.003381224455051494,-0.0011737638483890445,-0.0063570101269540815,0.0685357280399791,-0.0409529346164815,-0.04265648079488784,0.006483787972440772,-0.0006705306372912226,-1.4258610908638517e-05,0.6021812690436696,-0.2513260439482066,0.5056388031596567,0.6021768622505734,-0.2513671783869998,0.5056346526865669
0.033,-0.563180773,0.366733759,-1.479027297,-1.164677501,0.620139238,1.084674263,-0.5632360116664901,0.36677011611908317,-1.4789752058081516,-1.1647321779234165,0.6201609383101302,1.0846796635420455,0.003622178,-0.003356374,-0.005985276,0.006293852,-0.002164014,-0.006525435,0.00037195353119426187,-0.001448949602838263,-0.0035529470730349196,0.00352602071064338,-0.001249546018455217,-0.006562051642745797,0.07052835602511906,-0.041784199851552205,-0.043084558179317924,0.006629201047046284,-0.0006742370920739632,-1.3272294717027734e-05,0.6021812583400614,-0.2513227764412103,0.5056388116861161,0.6021764738954204,-0.2513663425361773,0.505634287869823
0.034,-0.563177096,0.366730351,-1.479033373,-1.164671112,0.620137041,1.084667639,-0.563235612418618,0.36676859684011953,-1.4789789268742304,-1.164728506571979,0.6201596112831871,1.0846728976525166,0.003731955,-0.003458043,-0.006166601,0.006484629,-0.002229578,-0.006723216,0.0003992478721261923,-0.0015192789636302147,-0.003721066078832225,0.003671351437631972,-0.001327026943130186,-0.006765889528762312,0.07250578441927436,-0.04259986473934789,-0.04348424880025706,0.006774446564317327,-0.0006769783603057512,-1.2362075248661328e-05,0.6021812469951453,-0.25131940815723186,0.5056388209232686,0.6021760676325367,-0.25136546431030343,0.5056339037837998
0.035,-0.563173309,0.366726843,-1.479039631,-1.164664532,0.620134779,1.084660817,-0.5632351847048438,0.3667670063309447,-1.4789828178015367,-1.1647246894005767,0.620158205164282,1.0846659290279257,0.003841734,-0.003559709,-0.006347922,0.006675412,-0.002295142,-0.006921,0.00042771377413060074,-0.0015905091748214947,-0.0038909273063689126,0.003817171402349404,-0.0014061189051272965,-0.006968624590901549,0.07446797500177188,-0.043400329598039904,-0.043856970975160614,0.006919629206836064,-0.0006787731902560515,-1.1526116504782871e-05,0.6021812355367215,-0.2513159392200073,0.5056388290940607,0.6021756433931986,-0.2513645428637209,0.5056335001937087
0.036,-0.563169412,0.366723232,-1.479046069,-1.164657761,0.620132451,1.084653797,-0.5632347273573697,0.3667653437275195,-1.4789868802400414,-1.1647207259579382,0.6201567184303416,1.0846587586666236,0.003951514,-0.003661371,-0.006529238,0.006866199,-0.002360704,-0.007118788,0.0004573474741054531,-0.0016626034252263265,-0.004062438504762438,0.003963442638447776,-0.0014867339403812096,-0.007170361301982032,0.07641486625485534,-0.04418652424742351,-0.04420389272048769,0.007064811881868997,-0.0006796593332250194,-1.0759135712116451e-05,0.6021812238179096,-0.25131236963001036,0.5056388389842498,0.6021752011243344,-0.2513635773600332,0.5056330768830523
0.037,-0.563165406,0.36671952,-1.479052689,-1.1646508,0.620130057,1.084646579,-0.5632342392128137,0.3667636082007333,-1.4789911157521471,-1.1647166158254447,0.6201551496439376,1.084651387468417,0.004061295,-0.00376303,-0.00671055,0.007056992,-0.002426266,-0.00731658,0.0004881445559721031,-0.0017355267862302606,-0.004235512105716628,0.00411013249348716,-0.0015687864040246071,-0.007371198206713,0.07834633016192809,-0.0449588843487209,-0.04452646613676042,0.007210035521920424,-0.000679666237363439,-1.0055948713943996e-05,0.6021812115011801,-0.25130870005638994,0.5056388482977083,0.6021747407877818,-0.251362566971709,0.5056326336531636
0.038,-0.56316129,0.366715706,-1.47905949,-1.164643647,0.620127598,1.084639164,-0.5632337191129356,0.366761798954642,-1.4789955258177545,-1.1647123586115398,0.6201534974522244,1.0846438162398022,0.004171078,-0.003864685,-0.006891858,0.00724779,-0.002491826,-0.007514376,0.000520099878102794,-0.0018092460912948877,-0.004410065607362735,0.004257213905035339,-0.001652191713176983,-0.007571228614808466,0.08026247373150315,-0.04571807363830522,-0.04482581286183815,0.007355384420726788,-0.0006788116656557131,-9.408510222171789e-06,0.6021811989965202,-0.25130492966813506,0.5056388583878186,0.6021742623595079,-0.2513615108795709,0.5056321703225832
0.039,-0.563157064,0.36671179,-1.479066473,-1.164636304,0.620125074,1.084631551,-0.5632331659051752,0.3667599152248532,-1.4790001118385616,-1.1647079539463947,0.6201517605866087,1.0846360457061106,0.004280862,-0.003966335,-0.007073161,0.007438594,-0.002557385,-0.007712175,0.0005532077604163613,-0.0018837297888362522,-0.004586020807042181,0.0044046651449766855,-0.0017368656157085945,-0.007770533691540954,0.08216327530919909,-0.04646462670859511,-0.045103136002399735,0.007500856637939354,-0.0006771255582321881,-8.81542300863153e-06,0.6021811859909691,-0.2513010585088086,0.5056388685923999,0.6021737658289961,-0.2513604082722096,0.5056316867266987
0.04,-0.563152728,0.366707773,-1.479073637,-1.16462877,0.620122484,1.08462374,-0.5632325784431003,0.36675795627694185,-1.479004875142297,-1.1647034014784647,0.6201499378610064,1.0846280765103906,0.004390648,-0.004067982,-0.007254459,0.007629403,-0.002622943,-0.007909979,0.0005874620750332748,-0.001958947911319986,-0.004763303735525772,0.004552467930006713,-0.001822725602365012,-0.00796919572006986,0.08404876280935605,-0.04719900946778426,-0.04535943284781817,0.007646499709281763,-0.0006746473088808181,-8.272193566081637e-06,0.6021811728644669,-0.2512970867920477,0.5056388787765141,0.6021732511985181,-0.25135925834561396,0.505631182717125
